Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
2,148.510,410,212,0,493,111,0,130.729,137.759,255,255
2,128.510,311,342,0,390,255,0,117.516,122.055,255,255
2,102.184,410,212,0,435,121,0,94.372,92.393,255,255
2,51.284,390,255,0,410,212,0,47.424,44.932,255,255
2,9.243,438,113,0,435,121,0,8.544,7.262,255,255
2,9.071,397,260,0,390,255,0,8.602,8.265,255,255
2,5.243,432,117,0,435,121,0,5.000,4.570,255,255
2,2.000,495,111,0,493,111,0,2.000,2.000,255,255
2,1.414,492,110,0,493,111,0,1.414,1.414,255,255
3,188.145,447,508,0,483,337,0,174.748,176.929,255,255
3,160.740,358,462,0,409,340,0,132.231,150.107,255,255
3,159.610,358,462,0,409,340,0,132.231,150.299,255,255
3,83.598,419,293,0,489,309,0,71.805,77.037,255,255
3,78.333,409,340,0,483,337,0,74.061,71.218,255,255
3,52.576,409,340,0,419,293,0,48.052,44.957,255,255
3,45.576,511,363,0,483,337,0,38.210,42.552,255,255
3,42.627,511,279,0,489,309,0,37.202,40.283,255,255
3,31.899,483,337,0,489,309,0,28.636,28.122,255,255
3,25.728,357,484,0,358,462,0,22.023,24.228,255,255
3,14.657,415,280,0,419,293,0,13.601,11.398,255,255
3,14.314,423,269,0,415,280,0,13.601,13.510,255,255
3,12.899,406,272,0,415,280,0,12.042,11.507,255,255
3,3.828,450,510,0,447,508,0,3.606,2.118,255,255
3,2.414,445,509,0,447,508,0,2.236,2.118,255,255
