Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
4,1,354,476,0,355,476,0,1,1,255,255
9,1.414,506,488,0,507,487,0,1.414,1.414,255,255
9,3.828,509,484,0,507,487,0,3.606,2.532,255,255
9,6.657,511,492,0,507,487,0,6.403,5.493,255,255
1,7.657,172,405,0,176,411,0,7.211,7.613,255,255
4,7.828,483,333,0,483,340,0,7,5.414,255,255
5,7.828,399,479,0,399,486,0,7,7.192,255,255
1,8.243,173,418,0,176,411,0,7.616,7.533,255,255
4,10.071,507,420,0,502,412,0,9.434,9.856,255,255
4,11.485,404,270,0,412,277,0,10.63,10.595,255,255
4,11.657,359,486,0,355,476,0,10.77,11.245,255,255
4,14.899,466,397,0,474,408,0,13.601,11.981,255,255
4,15.071,355,476,0,360,463,0,13.928,11.628,255,255
8,16.314,499,510,0,511,501,0,15,14.825,255,255
4,17.485,412,277,0,418,292,0,16.155,14.374,255,255
4,18.728,511,397,0,502,412,0,17.493,16.764,255,255
4,19.728,422,262,0,412,277,0,18.028,18.615,255,255
2,22.314,206,382,0,216,365,0,19.723,20.896,255,255
1,24.728,193,398,0,176,411,0,21.401,24.01,255,255
4,31.314,474,408,0,502,412,0,28.284,27.416,255,255
7,32.314,485,228,0,511,219,0,27.514,30.909,255,255
4,39.919,483,333,0,488,298,0,35.355,35.418,255,255
4,45.437,511,272,0,488,298,0,34.713,42.666,255,255
4,47.657,437,331,0,483,333,0,46.043,46.855,255,255
4,49.971,406,337,0,418,292,0,46.573,44.62,255,255
4,55.899,487,245,0,488,298,0,53.009,54.032,255,255
4,56.385,509,376,0,483,340,0,44.407,54.124,255,255
4,56.77,426,429,0,466,397,0,51.225,52.943,255,255
4,64.627,466,397,0,483,340,0,59.481,59.978,255,255
4,78.284,418,292,0,488,298,0,70.257,71.188,255,255
4,114.426,442,508,0,474,408,0,104.995,107.669,255,255
6,146.409,419,222,0,494,109,0,135.624,138.851,255,255
4,161.497,360,463,0,406,337,0,134.134,152.778,255,255
4,162.267,360,463,0,406,337,0,134.134,152.251,255,255
3,275.635,312,338,0,438,121,0,250.928,261.194,255,255
